

 Begin Fly'm 
 Ions Flown Separately, Comp Quality(3) 
 Number of Ions to Fly = 0 


------ Begin Next Fly'm ------

Ion(1) TOF(2.15608 usec) Mass(16 amu) Charge(-1 e) 

Ion(2) TOF(2.79134 usec) Mass(16 amu) Charge(-1 e) 

Ion(3) TOF(2.31694 usec) Mass(16 amu) Charge(-1 e) 

Ion(4) TOF(2.33847 usec) Mass(16 amu) Charge(-1 e) 

Ion(5) TOF(2.1756 usec) Mass(16 amu) Charge(-1 e) 

Ion(6) TOF(2.26101 usec) Mass(16 amu) Charge(-1 e) 

Ion(7) TOF(2.262 usec) Mass(16 amu) Charge(-1 e) 

Ion(8) TOF(2.39658 usec) Mass(16 amu) Charge(-1 e) 

Ion(9) TOF(2.31351 usec) Mass(16 amu) Charge(-1 e) 

Ion(10) TOF(2.33847 usec) Mass(16 amu) Charge(-1 e) 

Ion(11) TOF(2.2808 usec) Mass(16 amu) Charge(-1 e) 

Ion(12) TOF(2.59275 usec) Mass(16 amu) Charge(-1 e) 

Ion(13) TOF(2.38367 usec) Mass(16 amu) Charge(-1 e) 

Ion(14) TOF(2.33545 usec) Mass(16 amu) Charge(-1 e) 

Ion(15) TOF(2.37087 usec) Mass(16 amu) Charge(-1 e) 

Ion(16) TOF(2.20433 usec) Mass(16 amu) Charge(-1 e) 

Ion(17) TOF(2.36115 usec) Mass(16 amu) Charge(-1 e) 

Ion(18) TOF(2.41878 usec) Mass(16 amu) Charge(-1 e) 

Ion(19) TOF(2.23026 usec) Mass(16 amu) Charge(-1 e) 

Ion(20) TOF(2.21663 usec) Mass(16 amu) Charge(-1 e) 

Ion(21) TOF(2.31878 usec) Mass(16 amu) Charge(-1 e) 

Ion(22) TOF(2.31139 usec) Mass(16 amu) Charge(-1 e) 

Ion(23) TOF(2.57008 usec) Mass(16 amu) Charge(-1 e) 

Ion(24) TOF(2.36084 usec) Mass(16 amu) Charge(-1 e) 

Ion(25) TOF(2.27023 usec) Mass(16 amu) Charge(-1 e) 

Ion(26) TOF(2.78799 usec) Mass(16 amu) Charge(-1 e) 

Ion(27) TOF(2.33481 usec) Mass(16 amu) Charge(-1 e) 

Ion(28) TOF(2.38977 usec) Mass(16 amu) Charge(-1 e) 

Ion(29) TOF(2.51562 usec) Mass(16 amu) Charge(-1 e) 

Ion(30) TOF(2.37443 usec) Mass(16 amu) Charge(-1 e) 

Ion(31) TOF(2.19962 usec) Mass(16 amu) Charge(-1 e) 

Ion(32) TOF(2.47251 usec) Mass(16 amu) Charge(-1 e) 

Ion(33) TOF(2.47423 usec) Mass(16 amu) Charge(-1 e) 

Ion(34) TOF(2.35114 usec) Mass(16 amu) Charge(-1 e) 

Ion(35) TOF(2.16309 usec) Mass(16 amu) Charge(-1 e) 

Ion(36) TOF(2.52715 usec) Mass(16 amu) Charge(-1 e) 

Ion(37) TOF(2.24506 usec) Mass(16 amu) Charge(-1 e) 

Ion(38) TOF(2.3944 usec) Mass(16 amu) Charge(-1 e) 

Ion(39) TOF(2.56014 usec) Mass(16 amu) Charge(-1 e) 

