

 Begin Fly'm 
 Ions Flown Separately, Comp Quality(3) 
 Number of Ions to Fly = 0 


------ Begin Next Fly'm ------

Ion(1) TOF(1.01032 usec) Mass(1.41914 amu) Charge(-1 e) 

Ion(2) TOF(2.10114 usec) Mass(6.24311 amu) Charge(-1 e) 

Ion(3) TOF(1.69407 usec) Mass(4.02023 amu) Charge(-1 e) 

Ion(4) TOF(2.18836 usec) Mass(7.21982 amu) Charge(-1 e) 

Ion(5) TOF(1.87313 usec) Mass(5.22987 amu) Charge(-1 e) 

Ion(6) TOF(2.30623 usec) Mass(7.77548 amu) Charge(-1 e) 

Ion(7) TOF(2.43467 usec) Mass(8.4767 amu) Charge(-1 e) 

Ion(8) TOF(2.56459 usec) Mass(9.97501 amu) Charge(-1 e) 

Ion(9) TOF(1.82611 usec) Mass(5.0538 amu) Charge(-1 e) 

Ion(10) TOF(2.56051 usec) Mass(9.68276 amu) Charge(-1 e) 

Ion(11) TOF(2.20026 usec) Mass(7.25114 amu) Charge(-1 e) 

Ion(12) TOF(1.66248 usec) Mass(3.98947 amu) Charge(-1 e) 

Ion(13) TOF(1.99822 usec) Mass(5.66576 amu) Charge(-1 e) 

Ion(14) TOF(2.53718 usec) Mass(9.17051 amu) Charge(-1 e) 

Ion(15) TOF(2.46159 usec) Mass(8.72005 amu) Charge(-1 e) 

Ion(16) TOF(2.4718 usec) Mass(8.90435 amu) Charge(-1 e) 

Ion(17) TOF(0.955579 usec) Mass(1.27604 amu) Charge(-1 e) 

Ion(18) TOF(0.985762 usec) Mass(1.40513 amu) Charge(-1 e) 

Ion(19) TOF(2.24203 usec) Mass(6.95724 amu) Charge(-1 e) 

Ion(20) TOF(2.40089 usec) Mass(8.13831 amu) Charge(-1 e) 

Ion(21) TOF(2.22774 usec) Mass(6.98663 amu) Charge(-1 e) 

Ion(22) TOF(2.44933 usec) Mass(8.57393 amu) Charge(-1 e) 

Ion(23) TOF(1.09763 usec) Mass(1.73501 amu) Charge(-1 e) 

Ion(24) TOF(1.97749 usec) Mass(5.70641 amu) Charge(-1 e) 

Ion(25) TOF(1.20611 usec) Mass(2.01215 amu) Charge(-1 e) 

Ion(26) TOF(2.15138 usec) Mass(7.00504 amu) Charge(-1 e) 

Ion(27) TOF(2.24809 usec) Mass(7.3838 amu) Charge(-1 e) 

Ion(28) TOF(2.60643 usec) Mass(9.99341 amu) Charge(-1 e) 

Ion(29) TOF(2.457 usec) Mass(8.69314 amu) Charge(-1 e) 

Ion(30) TOF(1.88008 usec) Mass(5.19059 amu) Charge(-1 e) 

Ion(31) TOF(2.34132 usec) Mass(7.8999 amu) Charge(-1 e) 

Ion(32) TOF(2.07723 usec) Mass(6.50075 amu) Charge(-1 e) 

Ion(33) TOF(2.35852 usec) Mass(7.97241 amu) Charge(-1 e) 

Ion(34) TOF(2.29289 usec) Mass(7.876 amu) Charge(-1 e) 

Ion(35) TOF(2.41975 usec) Mass(8.8074 amu) Charge(-1 e) 

Ion(36) TOF(2.12237 usec) Mass(6.5609 amu) Charge(-1 e) 

