

 Begin Fly'm 
 Ions Flown Separately, Comp Quality(3) 
 Number of Ions to Fly = 0 


------ Begin Next Fly'm ------

Ion(1) TOF(0.872523 usec) Mass(1 amu) Charge(-1 e) 

Ion(2) TOF(1.19182 usec) Mass(2 amu) Charge(-1 e) 

Ion(3) TOF(1.39733 usec) Mass(3 amu) Charge(-1 e) 

Ion(4) TOF(1.48728 usec) Mass(4 amu) Charge(-1 e) 

Ion(5) TOF(1.80979 usec) Mass(5 amu) Charge(-1 e) 

Ion(6) TOF(1.12314 usec) Mass(1 amu) Charge(-1 e) 

Ion(7) TOF(1.05131 usec) Mass(2 amu) Charge(-1 e) 

Ion(8) TOF(1.28219 usec) Mass(3 amu) Charge(-1 e) 

Ion(9) TOF(1.52206 usec) Mass(4 amu) Charge(-1 e) 

Ion(10) TOF(1.70954 usec) Mass(5 amu) Charge(-1 e) 

Ion(11) TOF(0.782353 usec) Mass(1 amu) Charge(-1 e) 

Ion(12) TOF(1.2144 usec) Mass(2 amu) Charge(-1 e) 

Ion(13) TOF(1.3267 usec) Mass(3 amu) Charge(-1 e) 

Ion(14) TOF(1.48161 usec) Mass(4 amu) Charge(-1 e) 

Ion(15) TOF(1.65988 usec) Mass(5 amu) Charge(-1 e) 

Ion(16) TOF(0.771049 usec) Mass(1 amu) Charge(-1 e) 

Ion(17) TOF(1.13433 usec) Mass(2 amu) Charge(-1 e) 

Ion(18) TOF(1.29652 usec) Mass(3 amu) Charge(-1 e) 

Ion(19) TOF(1.60856 usec) Mass(4 amu) Charge(-1 e) 

Ion(20) TOF(1.5926 usec) Mass(5 amu) Charge(-1 e) 

Ion(21) TOF(0.77584 usec) Mass(1 amu) Charge(-1 e) 

Ion(22) TOF(1.06558 usec) Mass(2 amu) Charge(-1 e) 

Ion(23) TOF(1.32356 usec) Mass(3 amu) Charge(-1 e) 

Ion(24) TOF(1.56064 usec) Mass(4 amu) Charge(-1 e) 

Ion(25) TOF(1.64174 usec) Mass(5 amu) Charge(-1 e) 

Ion(26) TOF(0.879194 usec) Mass(1 amu) Charge(-1 e) 

Ion(27) TOF(1.00386 usec) Mass(2 amu) Charge(-1 e) 

Ion(28) TOF(1.37042 usec) Mass(3 amu) Charge(-1 e) 

Ion(29) TOF(1.71875 usec) Mass(4 amu) Charge(-1 e) 

Ion(30) TOF(1.84124 usec) Mass(5 amu) Charge(-1 e) 

Ion(31) TOF(0.768004 usec) Mass(1 amu) Charge(-1 e) 

Ion(32) TOF(1.16585 usec) Mass(2 amu) Charge(-1 e) 

Ion(33) TOF(1.19919 usec) Mass(3 amu) Charge(-1 e) 

Ion(34) TOF(1.5701 usec) Mass(4 amu) Charge(-1 e) 

Ion(35) TOF(1.74566 usec) Mass(5 amu) Charge(-1 e) 

Ion(36) TOF(0.72841 usec) Mass(1 amu) Charge(-1 e) 

Ion(37) TOF(1.09771 usec) Mass(2 amu) Charge(-1 e) 

Ion(38) TOF(1.29423 usec) Mass(3 amu) Charge(-1 e) 

Ion(39) TOF(1.44225 usec) Mass(4 amu) Charge(-1 e) 

