

 Begin Fly'm 
 Ions Flown Separately, Comp Quality(3) 
 Number of Ions to Fly = 0 


------ Begin Next Fly'm ------

Ion(1) TOF(2.35357 usec) Mass(10 amu) Charge(-1 e) 

Ion(2) TOF(2.31611 usec) Mass(11 amu) Charge(-1 e) 

Ion(3) TOF(2.79493 usec) Mass(12 amu) Charge(-1 e) 

Ion(4) TOF(3.44286 usec) Mass(13 amu) Charge(-1 e) 

Ion(5) TOF(2.86438 usec) Mass(14 amu) Charge(-1 e) 

Ion(6) TOF(2.87358 usec) Mass(15 amu) Charge(-1 e) 

Ion(7) TOF(2.87516 usec) Mass(16 amu) Charge(-1 e) 

Ion(8) TOF(4.87987 usec) Mass(17 amu) Charge(-1 e) 

Ion(9) TOF(3.15703 usec) Mass(18 amu) Charge(-1 e) 

Ion(10) TOF(3.5583 usec) Mass(19 amu) Charge(-1 e) 

Ion(11) TOF(2.85644 usec) Mass(20 amu) Charge(-1 e) 

Ion(12) TOF(3.25803 usec) Mass(21 amu) Charge(-1 e) 

Ion(13) TOF(3.31501 usec) Mass(22 amu) Charge(-1 e) 

Ion(14) TOF(3.12488 usec) Mass(23 amu) Charge(-1 e) 

Ion(15) TOF(4.21122 usec) Mass(24 amu) Charge(-1 e) 

Ion(16) TOF(5.78524 usec) Mass(25 amu) Charge(-1 e) 

Ion(17) TOF(5.6627 usec) Mass(26 amu) Charge(-1 e) 

Ion(18) TOF(3.75685 usec) Mass(27 amu) Charge(-1 e) 

Ion(19) TOF(3.56105 usec) Mass(28 amu) Charge(-1 e) 

Ion(20) TOF(3.52973 usec) Mass(29 amu) Charge(-1 e) 

Ion(21) TOF(5.57115 usec) Mass(30 amu) Charge(-1 e) 

Ion(22) TOF(6.28442 usec) Mass(31 amu) Charge(-1 e) 

Ion(23) TOF(4.01561 usec) Mass(32 amu) Charge(-1 e) 

Ion(24) TOF(4.85324 usec) Mass(33 amu) Charge(-1 e) 

Ion(25) TOF(5.07832 usec) Mass(34 amu) Charge(-1 e) 

Ion(26) TOF(5.87687 usec) Mass(35 amu) Charge(-1 e) 

Ion(27) TOF(4.12407 usec) Mass(36 amu) Charge(-1 e) 

Ion(28) TOF(4.592 usec) Mass(37 amu) Charge(-1 e) 

Ion(29) TOF(4.73584 usec) Mass(38 amu) Charge(-1 e) 

Ion(30) TOF(4.92872 usec) Mass(39 amu) Charge(-1 e) 

Ion(31) TOF(5.32464 usec) Mass(40 amu) Charge(-1 e) 

Ion(32) TOF(5.7954 usec) Mass(41 amu) Charge(-1 e) 

Ion(33) TOF(5.48601 usec) Mass(42 amu) Charge(-1 e) 

Ion(34) TOF(6.82214 usec) Mass(43 amu) Charge(-1 e) 

Ion(35) TOF(5.61794 usec) Mass(44 amu) Charge(-1 e) 

Ion(36) TOF(7.08237 usec) Mass(45 amu) Charge(-1 e) 

Ion(37) TOF(4.78823 usec) Mass(46 amu) Charge(-1 e) 

Ion(38) TOF(9.61595 usec) Mass(47 amu) Charge(-1 e) 

Ion(39) TOF(5.89194 usec) Mass(48 amu) Charge(-1 e) 

